number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_arcface_m,param_arcface_s,param_batch_size,param_epochs,param_hop_length,param_lr,param_mel,param_n_fft
41,COMPLETE,2.84523208392784e-05,2026-01-26T23:36:39.131124,2026-01-26T23:39:47.286229,188.155105,"{""best_epoch"": 29, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-26/23-36-39""}",0.6988198569480196,81.37589722869652,8,29,512,0.007552288750222031,ON,2048
42,COMPLETE,3.5559065887961575e-06,2026-01-26T23:39:47.296560,2026-01-26T23:47:08.553089,441.256529,"{""best_epoch"": 62, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-26/23-39-47""}",0.6605546224468481,91.6131865955681,8,62,512,0.008070387761754462,ON,2048
43,COMPLETE,4.568187387121725e-06,2026-01-26T23:47:08.565489,2026-01-26T23:53:49.715488,401.149999,"{""best_epoch"": 59, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-26/23-47-08""}",0.6526527698262776,90.30262179007367,8,59,512,0.008098398457352277,ON,2048
44,COMPLETE,3.617497820111263e-06,2026-01-26T23:53:49.725300,2026-01-27T00:00:32.932264,403.206964,"{""best_epoch"": 61, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-26/23-53-49""}",0.6550289896319571,92.93769272325827,8,61,512,0.008260668097763086,ON,2048
45,PRUNED,4.9481896894576494e-05,2026-01-27T00:00:32.941236,2026-01-27T00:22:59.702365,1346.761129,{},0.663860764260797,91.27381653340488,32,80,512,0.008632482620141812,OFF,2048
46,PRUNED,27.78905725479126,2026-01-27T00:22:59.709817,2026-01-27T00:23:22.037567,22.32775,{},0.6175755567809291,118.0126774375436,64,62,512,0.00821468785258632,ON,2048
47,COMPLETE,6.357828281622347e-08,2026-01-27T00:23:22.045830,2026-01-27T00:36:21.480656,779.434826,"{""best_epoch"": 124, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-27/00-23-22""}",0.6650922896711077,105.60569255502763,8,124,512,0.006019807618507277,ON,2048
48,PRUNED,5.473419199309622e-05,2026-01-27T00:36:21.493062,2026-01-27T00:45:33.273330,551.780268,{},0.66855659078818,104.0406979709642,16,126,160,0.006078287821597914,ON,2048
49,PRUNED,8.335689271916635e-05,2026-01-27T00:45:33.281507,2026-01-27T00:48:34.707221,181.425714,{},0.5782068557276465,127.92365313058721,8,144,512,0.004245686415080214,ON,2048
50,PRUNED,0.021788839623332022,2026-01-27T00:48:34.715918,2026-01-27T00:56:53.743944,499.028026,{},0.42933279206322156,96.37714270589038,8,93,128,0.009449301664829672,OFF,2048
