number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_mel,param_n_fft
49,PRUNED,23.887492243448893,2026-01-23T19:54:23.480074,2026-01-23T19:54:38.605413,15.125339,{},8,737,21.622985435861516,320,0.0005085559856028619,0.17655492690770946,OFF,2048
50,COMPLETE,8.24913569688797,2026-01-23T19:54:38.612442,2026-01-23T20:04:40.196333,601.583891,"{""best_epoch"": 234, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/19-54-38""}",8,816,19.375335787581307,320,0.0004579615153820881,0.38595948182763556,OFF,1024
51,PRUNED,13.650721995035807,2026-01-23T20:04:40.211768,2026-01-23T20:05:34.766211,54.554443,{},8,812,19.476932209484836,320,0.000298686246220322,0.3843790673051398,OFF,1024
52,COMPLETE,8.139452727635701,2026-01-23T20:05:34.775773,2026-01-23T20:16:57.983708,683.207935,"{""best_epoch"": 169, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/20-05-34""}",8,930,17.44588451433007,320,0.00047644965769469476,0.3832238746568492,OFF,1024
53,COMPLETE,8.032031679153443,2026-01-23T20:16:58.000468,2026-01-23T20:28:59.025195,721.024727,"{""best_epoch"": 161, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/20-16-58""}",8,994,17.27582395613353,320,0.0007356036077416583,0.36609705684296834,OFF,1024
54,COMPLETE,7.896274288495381,2026-01-23T20:28:59.042788,2026-01-23T20:40:49.810718,710.76793,"{""best_epoch"": 267, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/20-28-59""}",8,976,17.662378241901884,320,0.001075780085200351,0.3663204987594811,OFF,1024
55,PRUNED,27.36839532852173,2026-01-23T20:40:49.828224,2026-01-23T20:41:03.197333,13.369109,{},32,975,24.915877327897142,160,0.0007385952060146236,0.36583650129605283,OFF,1024
56,PRUNED,71.54892044067383,2026-01-23T20:41:03.204894,2026-01-23T20:41:21.045006,17.840112,{},8,995,83.09100724855686,128,0.0022192511884993726,0.3047752598913989,OFF,1024
57,PRUNED,17.717259788513182,2026-01-23T20:41:21.055036,2026-01-23T20:41:39.526523,18.471487,{},8,865,17.964895699780428,320,0.0016927382230981739,0.32489111714053126,OFF,2048
58,PRUNED,22.484559122721354,2026-01-23T20:41:39.536738,2026-01-23T20:41:49.488622,9.951884,{},8,947,22.6584149889583,320,0.0011883021560764085,0.30771170209373927,OFF,1024
59,PRUNED,43.5199031829834,2026-01-23T20:41:49.497366,2026-01-23T20:41:57.354380,7.857014,{},64,778,43.80180737616017,512,0.001204385262141052,0.34811952185923645,ON,1024
60,PRUNED,38.61988754272461,2026-01-23T20:41:57.362415,2026-01-23T20:42:06.071800,8.709385,{},48,850,28.104162979089068,320,0.0006910580220000282,0.10413868513266672,OFF,1024
61,COMPLETE,7.6467232465744015,2026-01-23T20:42:06.080061,2026-01-23T20:53:27.527509,681.447448,"{""best_epoch"": 211, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/20-42-06""}",8,931,17.292570044390477,320,0.0009562483070191706,0.3764438192801874,OFF,1024
62,PRUNED,15.549625078837076,2026-01-23T20:53:27.546984,2026-01-23T20:53:50.739081,23.192097,{},8,890,17.38448359861622,320,0.0019555925185448775,0.3591464410874426,OFF,1024
