number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_n_fft
41,COMPLETE,8.604266379511467,2026-01-27T22:35:21.128547,2026-01-27T22:47:24.023775,722.895228,"{""best_epoch"": 23, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/22-35-21""}",4,23,19.301080077361178,320,0.0019121820157915346,0.37913586019734263,512
42,PRUNED,9.331351916823122,2026-01-27T22:47:24.040388,2026-01-27T23:07:20.035740,1195.995352,{},4,137,17.24044568685479,320,0.0014135717824975004,0.3542620547511001,512
43,PRUNED,7.750256770497395,2026-01-27T23:07:20.046966,2026-01-27T23:28:54.751163,1294.704197,{},4,48,20.40613193536605,320,0.002446511137694822,0.39152227365600156,512
44,PRUNED,15.928893778059217,2026-01-27T23:28:54.766016,2026-01-27T23:33:53.912951,299.146935,{},4,70,22.44912908627588,320,0.001585596978275833,0.3693377735831062,512
45,PRUNED,18.773617935180663,2026-01-27T23:33:53.924849,2026-01-27T23:35:34.212553,100.287704,{},16,84,16.044452158225955,320,0.0008010071425128084,0.33029400774850926,512
46,PRUNED,21.54606056213379,2026-01-27T23:35:34.224397,2026-01-27T23:37:18.957639,104.733242,{},4,30,29.319179102581284,320,0.0010041330323145798,0.3524744429795263,512
47,PRUNED,21.43477906121148,2026-01-27T23:37:18.968136,2026-01-27T23:39:28.829453,129.861317,{},4,59,25.63034877057934,256,0.0035243730580252508,0.3044926189085476,512
48,COMPLETE,4.108352449067213,2026-01-27T23:39:28.845996,2026-01-28T00:31:04.442637,3095.596641,"{""best_epoch"": 87, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/23-39-28""}",4,99,19.785727532410665,320,0.0023339193799642275,0.3998796724719486,512
49,PRUNED,30.24941712838632,2026-01-28T00:31:04.458382,2026-01-28T00:32:34.433989,89.975607,{},4,115,30.984243104255,320,0.002380134448192546,0.10043500353782608,512
50,PRUNED,17.460071690877278,2026-01-28T00:32:34.446006,2026-01-28T00:34:17.969099,103.523093,{},8,127,20.720462488973308,320,0.0021198243534461926,0.399895371949671,512
51,PRUNED,6.084017723246857,2026-01-28T00:34:17.979478,2026-01-28T01:08:33.998580,2056.019102,{},4,100,17.989346876180733,320,0.001622122440649577,0.38658668085502934,512
52,PRUNED,7.785236844999923,2026-01-28T01:08:34.008291,2026-01-28T01:23:45.373359,911.365068,{},4,90,19.789122948090775,320,0.0031231832035706355,0.37552598782213126,512
53,PRUNED,5.562696181237698,2026-01-28T01:23:45.380814,2026-01-28T01:42:46.045197,1140.664383,{},4,199,17.48808790343002,320,0.0009763807524822346,0.3870650592716367,512
54,PRUNED,12.681407023117774,2026-01-28T01:42:46.054231,2026-01-28T01:48:10.444240,324.390009,{},4,79,24.10091914564238,256,0.0006406793623829704,0.3688682033648749,512
55,PRUNED,8.097448875679186,2026-01-28T01:48:10.451705,2026-01-28T01:57:12.766830,542.315125,{},4,162,22.577988901297278,320,0.0036416363022471056,0.39960609797893976,512
56,PRUNED,36.46637013753255,2026-01-28T01:57:12.774630,2026-01-28T01:57:55.615530,42.8409,{},16,64,37.506488879259074,320,0.004361315224786699,0.32497081813527795,512
57,PRUNED,96.58980475531683,2026-01-28T01:57:55.623801,2026-01-28T01:58:42.507950,46.884149,{},4,104,126.0976147846349,320,0.0029082245808508215,0.3471358377753903,512
58,PRUNED,17.545180241266888,2026-01-28T01:58:42.515180,2026-01-28T01:59:29.851846,47.336666,{},4,53,19.13740258413574,320,0.002221574440014795,0.17322095798550013,512
59,PRUNED,46.17512194315592,2026-01-28T01:59:29.860391,2026-01-28T02:00:25.626760,55.766369,{},4,74,65.3586645559209,256,0.001766955128101074,0.3902894424780195,512
60,PRUNED,18.39252714757566,2026-01-28T02:00:25.635960,2026-01-28T02:01:12.842587,47.206627,{},4,43,25.43171147035124,320,0.0014560820411229276,0.3701575545177483,512
61,COMPLETE,6.102857100328913,2026-01-28T02:01:12.851412,2026-01-28T02:12:42.652791,689.801379,"{""best_epoch"": 48, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-28/02-01-12""}",4,52,17.08145184836589,320,0.0014209689875830087,0.36110685641545326,512
62,COMPLETE,7.466511331222676,2026-01-28T02:12:42.662817,2026-01-28T02:19:51.013405,428.350588,"{""best_epoch"": 28, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-28/02-12-42""}",4,32,17.164381950694946,320,0.001405719104850273,0.357149061266862,512
63,PRUNED,19.355061283818,2026-01-28T02:19:51.023228,2026-01-28T02:20:38.320340,47.297112,{},4,129,21.666142653029073,320,0.0011354738232587302,0.23331311629289536,512
64,COMPLETE,5.047018507012615,2026-01-28T02:20:38.328094,2026-01-28T02:32:34.657201,716.329107,"{""best_epoch"": 51, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-28/02-20-38""}",4,54,16.07173130775643,320,0.0017791440204114003,0.38818137026018973,512
65,COMPLETE,5.331235625746626,2026-01-28T02:32:34.666054,2026-01-28T02:44:16.624249,701.958195,"{""best_epoch"": 50, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-28/02-32-34""}",4,53,16.83916238972975,320,0.0017764634780289216,0.3859691186730866,512
66,COMPLETE,6.041026995689781,2026-01-28T02:44:16.633101,2026-01-28T02:58:09.672545,833.039444,"{""best_epoch"": 45, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-28/02-44-16""}",4,63,16.025789363262273,320,0.002620460688148873,0.3923168681240619,512
67,COMPLETE,5.1745012323889465,2026-01-28T02:58:09.682883,2026-01-28T03:10:59.885572,770.202689,"{""best_epoch"": 71, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-28/02-58-09""}",4,83,16.27679991007238,512,0.003222675751308597,0.3924185598908803,512
68,PRUNED,15.318915875752767,2026-01-28T03:10:59.894954,2026-01-28T03:11:32.101925,32.206971,{},8,90,16.616246507431814,512,0.003514943056434955,0.38376412962630924,512
69,PRUNED,6.790305816464954,2026-01-28T03:11:32.111155,2026-01-28T03:19:38.553596,486.442441,{},4,111,20.19411662651451,512,0.00011641531072551456,0.3727478263375039,1024
70,PRUNED,17.802573168719256,2026-01-28T03:19:38.562443,2026-01-28T03:20:13.290258,34.727815,{},4,81,17.87696951934481,512,0.004584784807161813,0.13579587107553093,512
71,PRUNED,12.666376502425582,2026-01-28T03:20:13.299366,2026-01-28T03:22:36.333765,143.034399,{},4,70,16.17125093807342,512,0.002699968686162247,0.3917656338977252,512
72,COMPLETE,5.024840593889907,2026-01-28T03:22:36.343872,2026-01-28T03:32:25.054956,588.711084,"{""best_epoch"": 58, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-28/03-22-36""}",4,63,16.104466775964546,512,0.003115391580333578,0.3920319013321244,512
73,PRUNED,14.066119529582837,2026-01-28T03:32:25.064642,2026-01-28T03:33:36.189028,71.124386,{},4,60,19.604242061449593,512,0.003050731879973094,0.3993709873006537,512
74,PRUNED,6.159772098823278,2026-01-28T03:33:36.197542,2026-01-28T03:43:51.315689,615.118147,{},4,101,17.845757754858692,512,0.003308698479457007,0.38425165740887635,512
75,PRUNED,15.211951971054077,2026-01-28T03:43:51.324210,2026-01-28T03:44:26.612918,35.288708,{},4,96,20.94969930113408,512,0.003937092036758875,0.3757702825815934,1024
76,PRUNED,20.74624137878418,2026-01-28T03:44:26.620432,2026-01-28T03:44:55.955801,29.335369,{},16,73,18.693483420817692,512,0.0018189535954158103,0.3500251418826966,512
77,PRUNED,8.887081535602057,2026-01-28T03:44:55.965031,2026-01-28T03:49:10.157375,254.192344,{},4,84,16.989609601625613,512,0.0021049145712453425,0.3892102692488605,512
78,PRUNED,14.658576470834237,2026-01-28T03:49:10.165176,2026-01-28T03:49:45.264094,35.098918,{},4,68,21.846722912048698,512,0.00036374125613255283,0.3677686716327876,512
79,PRUNED,57.131593774866175,2026-01-28T03:49:45.271248,2026-01-28T03:50:42.025535,56.754287,{},4,92,82.60145347062756,256,0.0022966391217854602,0.3950452350861066,1024
80,PRUNED,19.90565408070882,2026-01-28T03:50:42.032587,2026-01-28T03:51:14.019425,31.986838,{},8,57,23.482391170680295,512,0.0002709681820283631,0.37913585300631786,512
81,COMPLETE,4.867833678093222,2026-01-28T03:51:14.027988,2026-01-28T04:05:16.429334,842.401346,"{""best_epoch"": 43, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-28/03-51-14""}",4,64,16.135104769182036,320,0.0026429844513697993,0.3853137671279883,512
82,PRUNED,8.936330219799721,2026-01-28T04:05:16.438571,2026-01-28T04:11:15.910520,359.471949,{},4,76,16.7662828495041,320,0.003883603907807097,0.38467556584224566,512
83,COMPLETE,5.635566404848187,2026-01-28T04:11:15.918717,2026-01-28T04:20:45.004894,569.086177,"{""best_epoch"": 41, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-28/04-11-15""}",4,43,17.834497267626244,320,0.002816374820232762,0.36591901412789213,512
84,PRUNED,14.139524362705371,2026-01-28T04:20:45.013761,2026-01-28T04:21:32.353398,47.339637,{},4,39,18.15838386460369,320,0.002694271878859191,0.3362976320204871,512
85,PRUNED,11.252480177967637,2026-01-28T04:21:32.360970,2026-01-28T04:24:54.473089,202.112119,{},4,43,16.02100739918917,320,0.0032589622761446542,0.3743866681245726,512
86,PRUNED,8.077721596936938,2026-01-28T04:24:54.480571,2026-01-28T04:33:31.318457,516.837886,{},4,66,19.426475348417377,320,0.0024214266383859673,0.3661538782856252,512
87,PRUNED,15.390987590507224,2026-01-28T04:33:31.328640,2026-01-28T04:34:18.552076,47.223436,{},4,56,17.366429875624156,320,0.001961844838834807,0.27831210256252786,512
88,PRUNED,12.657864288047508,2026-01-28T04:34:18.559324,2026-01-28T04:37:03.727508,165.168184,{},4,35,18.792545154278585,320,0.0028103092245728876,0.383402243673836,512
89,PRUNED,15.258140440340396,2026-01-28T04:37:03.736131,2026-01-28T04:37:51.109794,47.373663,{},4,25,16.756405810575686,320,0.003648392868786292,0.2146989948887273,512
90,PRUNED,19.288374837239584,2026-01-28T04:37:51.118797,2026-01-28T04:38:34.201356,43.082559,{},16,50,18.014991229311228,320,0.00222130872962542,0.3899484527292102,512
91,PRUNED,13.798732457337556,2026-01-28T04:38:34.209645,2026-01-28T04:39:21.133804,46.924159,{},4,80,19.94128585064947,320,0.0029326678777087667,0.39355234763820357,512
92,PRUNED,12.548359429394758,2026-01-28T04:39:21.142681,2026-01-28T04:40:33.169475,72.026794,{},4,62,16.62304075926104,512,0.0024711198379321637,0.3630361117946754,1024
93,PRUNED,11.482490407096016,2026-01-28T04:40:33.177464,2026-01-28T04:43:30.192632,177.015168,{},4,87,17.585200092812027,320,0.0016490074246625008,0.3779404548843334,512
94,PRUNED,15.011685066097588,2026-01-28T04:43:30.202252,2026-01-28T04:46:27.581640,177.379388,{},4,44,20.948818710150693,320,0.0032956756190652037,0.3997773280476828,512
95,PRUNED,16.075415867346305,2026-01-28T04:46:27.589514,2026-01-28T04:47:01.862894,34.27338,{},4,68,18.71108012165931,512,0.003970967874458116,0.2516637772967996,512
96,PRUNED,34.776155102920406,2026-01-28T04:47:01.871252,2026-01-28T04:47:57.797087,55.925835,{},4,118,50.881882777204346,256,0.0005083063526677017,0.37408118170846993,512
97,PRUNED,7.297067538179733,2026-01-28T04:47:57.804625,2026-01-28T05:07:08.737725,1150.9331,{},4,109,16.681236984840986,320,0.004889095979426187,0.3850175417500479,1024
98,PRUNED,13.887789364214298,2026-01-28T05:07:08.746468,2026-01-28T05:07:56.245334,47.498866,{},4,72,19.648963850981424,320,0.0018821687454139387,0.3935902668507027,512
99,PRUNED,15.772509098052979,2026-01-28T05:07:56.254476,2026-01-28T05:08:41.397503,45.143027,{},8,104,17.79695240696938,320,0.00018364262542802304,0.3571500792410623,512
