number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_arcface_m,param_arcface_s,param_batch_size,param_epochs,param_hop_length,param_lr,param_mel,param_n_fft
62,COMPLETE,0.0,2026-02-02T11:25:42.074626,2026-02-02T11:29:16.922009,214.847383,"{""best_epoch"": 247, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/11-25-42""}",0.5645974153454555,114.15950388159038,16,388,320,0.008551230841540186,OFF,1024
63,COMPLETE,0.0,2026-02-02T11:29:16.936344,2026-02-02T11:32:22.292085,185.355741,"{""best_epoch"": 244, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/11-29-16""}",0.6559565140134656,97.02515524936,16,331,320,0.006763684139424889,OFF,1024
64,COMPLETE,0.0,2026-02-02T11:32:22.303745,2026-02-02T11:34:37.071569,134.767824,"{""best_epoch"": 205, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/11-32-22""}",0.6828767069106244,118.92352264988395,16,240,320,0.009936311291243421,OFF,1024
65,PRUNED,44.354899406433105,2026-02-02T11:34:37.082778,2026-02-02T11:34:53.173563,16.090785,{},0.6106706025102423,111.40880944109507,64,607,128,0.005208758531228451,OFF,1024
66,COMPLETE,0.0,2026-02-02T11:34:53.181049,2026-02-02T11:38:54.802931,241.621882,"{""best_epoch"": 157, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-02/11-34-53""}",0.698692038283099,103.22543742104793,8,475,512,0.0037197160500967966,ON,512
67,COMPLETE,0.0,2026-02-02T11:38:54.816716,2026-02-02T11:41:16.781467,141.964751,"{""best_epoch"": 242, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/11-38-54""}",0.6449478392064786,106.05677579846953,16,411,320,0.00603474658961496,ON,2048
68,PRUNED,17.053590297698975,2026-02-02T11:41:16.794854,2026-02-02T11:41:24.392219,7.597365,{},0.6219759055580493,43.23155342264401,32,541,512,0.0014587897246770213,OFF,1024
69,COMPLETE,0.0,2026-02-02T11:41:24.401394,2026-02-02T11:45:03.309496,218.908102,"{""best_epoch"": 217, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/11-41-24""}",0.6637105792849024,116.54836433377066,16,641,320,0.007444451319262827,ON,2048
70,PRUNED,3.1173524856567383,2026-02-02T11:45:03.326839,2026-02-02T11:45:13.732391,10.405552,{},0.43652888918998933,78.63786118617907,32,374,512,0.008676108362678632,OFF,2048
71,PRUNED,3.931237612656938e-05,2026-02-02T11:45:13.740878,2026-02-02T11:45:43.583388,29.84251,{},0.6739638303803673,108.32809428984105,16,264,320,0.004733035862749717,OFF,1024
72,PRUNED,0.0027896544119964044,2026-02-02T11:45:43.592117,2026-02-02T11:45:52.710437,9.11832,{},0.5936758455819638,112.99874888138521,16,155,320,0.004735534342932225,OFF,1024
73,PRUNED,47.036566162109374,2026-02-02T11:45:52.718652,2026-02-02T11:46:01.913933,9.195281,{},0.6856129636279779,98.74658066495567,16,319,320,0.00039562640324587224,OFF,1024
74,COMPLETE,0.0,2026-02-02T11:46:01.923122,2026-02-02T11:48:40.515300,158.592178,"{""best_epoch"": 242, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/11-46-01""}",0.6302835718411384,110.2131357772593,16,278,320,0.007069137156135784,OFF,1024
75,COMPLETE,9.189048692329986e-08,2026-02-02T11:48:40.527959,2026-02-02T11:50:57.359112,136.831153,"{""best_epoch"": 209, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/11-48-40""}",0.6553102020434889,124.32816636508907,16,209,256,0.005897641286323791,OFF,1024
76,PRUNED,0.004865397699177265,2026-02-02T11:50:57.370906,2026-02-02T11:51:12.664097,15.293191,{},0.699789589298728,87.00041304177564,32,104,160,0.008791649056140776,ON,2048
77,PRUNED,41.508429463704424,2026-02-02T11:51:12.677976,2026-02-02T11:51:21.831376,9.1534,{},0.6381790701913249,101.77480572688239,16,263,320,0.0006950722069925912,OFF,1024
78,PRUNED,0.005667793719718854,2026-02-02T11:51:21.840451,2026-02-02T11:51:29.202517,7.362066,{},0.5618302193841016,94.98997390640474,16,358,512,0.0038954897670236996,ON,512
79,PRUNED,32.66034126281738,2026-02-02T11:51:29.210925,2026-02-02T11:51:43.889858,14.678933,{},0.6053531661243206,115.59546755997398,32,828,320,0.00268877446330088,OFF,2048
80,PRUNED,0.004625078570097685,2026-02-02T11:51:43.897413,2026-02-02T11:51:57.654272,13.756859,{},0.6617663897702794,56.25105947497966,16,425,128,0.005178132235663673,ON,1024
81,PRUNED,0.002015735131377975,2026-02-02T11:51:57.665382,2026-02-02T11:52:14.187474,16.522092,{},0.5790831187243852,125.34317177911662,16,391,128,0.005988194120534408,OFF,1024
82,PRUNED,0.00018835527977595728,2026-02-02T11:52:14.197400,2026-02-02T11:52:43.195029,28.997629,{},0.6176732966846535,119.43744905872613,16,302,128,0.007336031030631834,OFF,1024
83,PRUNED,0.004487887707849344,2026-02-02T11:52:43.203092,2026-02-02T11:53:00.699303,17.496211,{},0.5138113772481214,112.94383198794742,16,336,128,0.005440314624409972,OFF,1024
84,PRUNED,52.27099895477295,2026-02-02T11:53:00.709714,2026-02-02T11:53:18.239986,17.530272,{},0.6778975804374118,120.46938632249615,64,577,128,0.004375806457379561,OFF,1024
85,COMPLETE,0.0,2026-02-02T11:53:18.248210,2026-02-02T12:00:18.307668,420.059458,"{""best_epoch"": 132, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-02/11-53-18""}",0.6344121254344559,127.7698068129151,8,496,512,0.0033514570486456612,OFF,2048
